,BANK,ENV,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
58,MFC,D2,-4.0,13.0,3.0,0.0001,1e-06,29.17,20.42,71.61,61.68
59,MFC,D2,-4.0,13.0,3.0,1e-05,0.1,32.25,29.33,64.18,60.92
60,MFC,D2,-4.0,13.0,3.0,1e-05,0.01,29.88,23.34,69.46,62.07
61,MFC,D2,-4.0,13.0,3.0,1e-05,0.001,29.32,21.67,70.37,61.54
62,MFC,D2,-4.0,13.0,3.0,1e-05,0.0001,29.3,21.63,70.67,61.58
63,MFC,D2,-4.0,13.0,3.0,1e-05,1e-05,29.17,21.12,71.11,61.71
64,MFC,D2,-4.0,13.0,3.0,1e-05,1e-06,29.42,22.08,70.36,61.55
65,MFC,D2,-4.0,13.0,3.0,1e-06,0.1,32.61,29.86,63.9,60.75
66,MFC,D2,-4.0,13.0,3.0,1e-06,0.01,29.7,23.26,69.48,62.26
67,MFC,D2,-4.0,13.0,3.0,1e-06,0.001,29.67,22.19,69.82,61.55
68,MFC,D2,-4.0,13.0,3.0,1e-06,0.0001,29.44,22.7,69.78,61.62
69,MFC,D2,-4.0,13.0,3.0,1e-06,1e-05,29.9,23.41,69.09,61.33
70,MFC,D2,-4.0,13.0,3.0,1e-06,1e-06,28.96,21.03,71.25,61.6
71,MFC,D2,-4.0,13.0,4.0,0.1,0.1,32.27,29.28,63.8,60.35
72,MFC,D2,-4.0,13.0,4.0,0.1,0.01,28.12,20.5,72.14,63.53
73,MFC,D2,-4.0,13.0,4.0,0.1,0.001,28.38,20.71,71.5,62.85
74,MFC,D2,-4.0,13.0,4.0,0.1,0.0001,28.79,21.37,71.12,62.88
75,MFC,D2,-4.0,13.0,4.0,0.1,1e-05,29.12,22.71,69.91,62.61
76,MFC,D2,-4.0,13.0,4.0,0.1,1e-06,28.94,21.84,70.82,62.75
77,MFC,D2,-4.0,13.0,4.0,0.01,0.1,32.21,29.12,63.99,60.64
78,MFC,D2,-4.0,13.0,4.0,0.01,0.01,29.34,23.12,70.12,62.64
79,MFC,D2,-4.0,13.0,4.0,0.01,0.001,28.61,19.94,72.32,62.59
80,MFC,D2,-4.0,13.0,4.0,0.01,0.0001,28.56,19.6,72.38,62.6
81,MFC,D2,-4.0,13.0,4.0,0.01,1e-05,28.86,21.16,70.73,62.23
82,MFC,D2,-4.0,13.0,4.0,0.01,1e-06,28.7,19.77,72.38,62.6
83,MFC,D2,-4.0,13.0,4.0,0.001,0.1,31.83,28.67,64.54,61.0
84,MFC,D2,-4.0,13.0,4.0,0.001,0.01,28.98,22.09,70.65,62.77
85,MFC,D2,-4.0,13.0,4.0,0.001,0.001,29.07,21.67,70.66,62.25
86,MFC,D2,-4.0,13.0,4.0,0.001,0.0001,29.29,22.23,70.39,62.09
87,MFC,D2,-4.0,13.0,4.0,0.001,1e-05,29.43,22.66,69.59,61.98
88,MFC,D2,-4.0,13.0,4.0,0.001,1e-06,29.45,22.65,69.59,61.93
89,MFC,D2,-4.0,13.0,4.0,0.0001,0.1,31.78,28.6,64.58,61.08
90,MFC,D2,-4.0,13.0,4.0,0.0001,0.01,29.15,22.59,70.13,62.62
91,MFC,D2,-4.0,13.0,4.0,0.0001,0.001,29.09,21.91,70.33,62.24
92,MFC,D2,-4.0,13.0,4.0,0.0001,0.0001,28.74,20.58,71.49,62.33
93,MFC,D2,-4.0,13.0,4.0,0.0001,1e-05,29.07,21.61,70.71,62.12
94,MFC,D2,-4.0,13.0,4.0,0.0001,1e-06,29.04,21.51,70.73,62.1
95,MFC,D2,-4.0,13.0,4.0,1e-05,0.1,31.89,28.68,64.55,61.07
96,MFC,D2,-4.0,13.0,4.0,1e-05,0.01,29.0,21.98,70.75,62.71
97,MFC,D2,-4.0,13.0,4.0,1e-05,0.001,28.66,20.49,71.43,62.21
98,MFC,D2,-4.0,13.0,4.0,1e-05,0.0001,29.11,21.92,70.41,62.04
99,MFC,D2,-4.0,13.0,4.0,1e-05,1e-05,29.05,21.5,70.7,62.1
100,MFC,D2,-4.0,13.0,4.0,1e-05,1e-06,29.09,21.5,70.7,62.07
101,MFC,D2,-4.0,13.0,4.0,1e-06,0.1,32.18,29.15,64.01,60.65
102,MFC,D2,-4.0,13.0,4.0,1e-06,0.01,29.64,23.67,69.07,62.34
103,MFC,D2,-4.0,13.0,4.0,1e-06,0.001,29.4,22.86,69.57,61.9
104,MFC,D2,-4.0,13.0,4.0,1e-06,0.0001,29.36,22.29,70.07,62.0
105,MFC,D2,-4.0,13.0,4.0,1e-06,1e-05,29.34,22.42,69.92,61.99
106,MFC,D2,-4.0,13.0,4.0,1e-06,1e-06,29.11,21.48,70.85,62.1
107,MFC,D2,-4.0,13.0,5.0,0.1,0.1,32.04,28.83,63.93,60.37
108,MFC,D2,-4.0,13.0,5.0,0.1,0.01,28.46,22.08,70.63,62.9
109,MFC,D2,-4.0,13.0,5.0,0.1,0.001,28.31,21.46,70.79,62.58
110,MFC,D2,-4.0,13.0,5.0,0.1,0.0001,28.34,21.4,70.92,62.74
111,MFC,D2,-4.0,13.0,5.0,0.1,1e-05,27.79,19.81,72.62,62.89
112,MFC,D2,-4.0,13.0,5.0,0.1,1e-06,28.37,21.46,70.92,62.64
113,MFC,D2,-4.0,13.0,5.0,0.01,0.1,31.59,28.41,64.46,60.82
114,MFC,D2,-4.0,13.0,5.0,0.01,0.01,28.82,21.83,70.97,62.87
115,MFC,D2,-4.0,13.0,5.0,0.01,0.001,28.46,19.77,72.61,62.55
116,MFC,D2,-4.0,13.0,5.0,0.01,0.0001,28.68,20.09,72.01,62.41
117,MFC,D2,-4.0,13.0,5.0,0.01,1e-05,28.27,19.64,72.31,62.57
118,MFC,D2,-4.0,13.0,5.0,0.01,1e-06,28.46,19.6,72.73,62.46
119,MFC,D2,-4.0,13.0,5.0,0.001,0.1,31.6,28.5,64.47,60.94
120,MFC,D2,-4.0,13.0,5.0,0.001,0.01,29.06,21.89,71.0,62.69
