,BANK,INIT,ENV,MODEL,INS,TEST,COMP,OCC AVG,OCC MIN,RO,TB,HMM,PER
40,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2809.0,1445.11038644,191.845184,100.0,850.0,20.0,30.81
188,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2797.0,1445.61119452,191.819138,75.0,850.0,12.0,30.83
41,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2809.0,1445.11038644,191.845184,100.0,850.0,24.0,30.84
109,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1498.0,2081.68460103,393.388947,300.0,1250.0,16.0,30.84
18,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1783.0,1866.65635811,254.942719,100.0,1150.0,12.0,30.85
146,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,850.0,12.0,30.89
31,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1149.0,2450.84489559,288.286041,100.0,1500.0,16.0,30.91
47,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2393.0,1581.71117907,249.667328,100.0,950.0,12.0,30.91
152,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,950.0,12.0,30.91
193,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2384.0,1581.12369485,249.687393,75.0,950.0,12.0,30.91
132,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,50.0,1100.0,20.0,30.92
61,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1756.0,1887.07630175,257.285492,150.0,1150.0,12.0,30.92
108,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1498.0,2081.68460103,393.388947,300.0,1250.0,12.0,30.94
1,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,10.0,1000.0,12.0,30.94
66,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1515.0,2064.27095629,287.256317,150.0,1250.0,16.0,30.95
23,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1520.0,2057.73449042,287.436188,100.0,1250.0,12.0,30.96
178,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1790.0,1865.39980187,255.140259,75.0,1150.0,12.0,30.98
135,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1150.0,12.0,30.98
69,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1155.0,2445.97168751,286.020294,150.0,1500.0,12.0,30.99
65,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1515.0,2064.27095629,287.256317,150.0,1250.0,12.0,30.99
186,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1527.0,2055.45528834,285.837708,75.0,1250.0,24.0,31.03
142,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1250.0,24.0,31.03
94,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,4797.0,1070.93342809,170.444473,200.0,600.0,16.0,31.04
133,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,50.0,1100.0,32.0,31.04
13,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1931.0,1791.6371598,259.131042,100.0,1100.0,12.0,31.06
206,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2025.0,1603.78701863,409.242035,800.0,600.0,24.0,31.06
158,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1640.0,1898.38587766,411.355835,500.0,1100.0,16.0,31.1
70,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1155.0,2445.97168751,286.020294,150.0,1500.0,16.0,31.11
138,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1150.0,8.0,31.13
182,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1790.0,1865.39980187,255.140259,75.0,1150.0,8.0,31.13
191,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2797.0,1445.61119452,191.819138,75.0,850.0,24.0,31.14
120,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,16.0,31.14
22,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1783.0,1866.65635811,254.942719,100.0,1150.0,8.0,31.15
130,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,50.0,1100.0,12.0,31.15
177,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2032.0,1734.53357342,256.654419,75.0,1050.0,8.0,31.17
192,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2797.0,1445.61119452,191.819138,75.0,850.0,8.0,31.17
129,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1050.0,8.0,31.17
29,MFC,FlatStart,D2,xwtri,-12.5,TEST,1309.0,2251.65485419,290.643036,100.0,1400.0,8.0,31.18
207,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2025.0,1603.78701863,409.242035,800.0,600.0,32.0,31.19
149,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,850.0,24.0,31.21
131,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,50.0,1100.0,16.0,31.21
122,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,24.0,31.22
172,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2198.0,1647.46227098,259.057739,75.0,1000.0,8.0,31.22
116,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,300.0,2000.0,12.0,31.23
74,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2360.0,1589.36476036,251.000778,150.0,950.0,12.0,31.23
111,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1112.0,2485.47916528,409.778137,300.0,1500.0,12.0,31.23
15,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1931.0,1791.6371598,259.131042,100.0,1100.0,20.0,31.25
150,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,850.0,8.0,31.26
121,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,20.0,31.26
168,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2198.0,1647.46227098,259.057739,75.0,1000.0,12.0,31.28
60,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2022.0,1747.19329177,255.423294,150.0,1050.0,8.0,31.28
3,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2207.0,1647.85543174,259.078552,100.0,1000.0,12.0,31.29
160,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1640.0,1898.38587766,411.355835,500.0,1100.0,32.0,31.3
164,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2932.0,1369.72752378,406.836121,600.0,600.0,20.0,31.3
104,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,25.0,2000.0,12.0,31.3
88,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,200.0,2000.0,12.0,31.3
107,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,300.0,1000.0,8.0,31.32
38,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2809.0,1445.11038644,191.845184,100.0,850.0,12.0,31.32
42,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2809.0,1445.11038644,191.845184,100.0,850.0,8.0,31.33
7,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2207.0,1647.85543174,259.078552,100.0,1000.0,8.0,31.33
12,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2049.0,1734.43991614,256.930573,100.0,1050.0,8.0,31.33
165,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2932.0,1369.72752378,406.836121,600.0,600.0,24.0,31.34
2,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,10.0,1000.0,8.0,31.36
103,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,25.0,1000.0,8.0,31.36
134,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,50.0,1100.0,8.0,31.36
